u,y
0.179707,0.006079
0.026407,0.007902
0.087167,0.010157
-0.14462,0.012602
-0.070117,0.014801
0.1246,0.016377
-0.063898,0.018011
0.057735,0.019708
-0.036003,0.021304
-0.013558,0.022865
-0.13493,0.024216
-0.12704,0.025116
0.098457,0.025302
